"UF","CIDADE","COD_IBGE","TURNO","CANDIDATURA","PARTIDO","DATA","PERCENTUAL","INSTITUTO","REGISTRO_TSE","AMOSTRA","MARGEM"
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-26,54,"RealTime","SP-08659/2020",1000,3.08909928619978
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-26,46,"RealTime","SP-08659/2020",1000,3.08909928619978
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-27,54,"RealTime","SP-04784/2020",1200,2.81994893570788
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-27,46,"RealTime","SP-04784/2020",1200,2.81994893570788
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-28,55,"Datafolha","SP-02945/2020",3047,1.76647479829076
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-28,45,"Datafolha","SP-02945/2020",3047,1.76647479829076
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-28,57,"Ibope","SP-02990/2020",1204,2.79649780976135
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-28,43,"Ibope","SP-02990/2020",1204,2.79649780976135
"SE","Aracaju",2800308,2,"Del. Danielle","CID",2020-11-20,36,"Ibope","SE-09157/2020",504,4.19065627318681
"SE","Aracaju",2800308,2,"Edvaldo","PDT",2020-11-20,64,"Ibope","SE-09157/2020",504,4.19065627318681
"SE","Aracaju",2800308,2,"Del. Danielle","CID",2020-11-26,38,"Ibope","SE-05996/2020",504,4.23768280497202
"SE","Aracaju",2800308,2,"Edvaldo","PDT",2020-11-26,62,"Ibope","SE-05996/2020",504,4.23768280497202
