"UF","TURNO","CANDIDATURA","PARTIDO","DATA","PERCENTUAL","INSTITUTO","REGISTRO_TSE","AMOSTRA"
"AL",1,"Brancos/nulos/indecisos",NA,2020-10-22,21,"Ibope","AL-00075/2020",504
"AL",1,"Alfredo Gaspar","MDB",2020-11-03,26,"Ibrape","AL-08550/2020",2000
"AL",1,"JHC","PSB",2020-11-03,23,"Ibrape","AL-08550/2020",2000
"AL",1,"Cícero Almeida","DC",2020-11-03,4,"Ibrape","AL-08550/2020",2000
"AL",1,"Davi Filho","PP",2020-11-03,24,"Ibrape","AL-08550/2020",2000
"AL",1,"Lenilda Luna","UP",2020-11-03,0,"Ibrape","AL-08550/2020",2000
"AL",1,"Josan Leite","PATRI",2020-11-03,2,"Ibrape","AL-08550/2020",2000
"AL",1,"Ricardo Barbosa","PT",2020-11-03,1,"Ibrape","AL-08550/2020",2000
"AL",1,"Valeria Correia","PSOL",2020-11-03,1,"Ibrape","AL-08550/2020",2000
"AL",1,"Cicero Filho","PCdoB",2020-11-03,0,"Ibrape","AL-08550/2020",2000
"AL",1,"Corintho Campelo","PMN",2020-11-03,0,"Ibrape","AL-08550/2020",2000
"AL",1,"Brancos/nulos/indecisos",NA,2020-11-03,19,"Ibrape","AL-08550/2020",2000
"AL",1,"Alfredo Gaspar","MDB",2020-11-10,24,"Data Sensus","AL-00788/2020",2404
"AL",1,"JHC","PSB",2020-11-10,25,"Data Sensus","AL-00788/2020",2404
"AL",1,"Cícero Almeida","DC",2020-11-10,5,"Data Sensus","AL-00788/2020",2404
"AL",1,"Davi Filho","PP",2020-11-10,26,"Data Sensus","AL-00788/2020",2404
"AL",1,"Lenilda Luna","UP",2020-11-10,1,"Data Sensus","AL-00788/2020",2404
"AL",1,"Josan Leite","PATRI",2020-11-10,2,"Data Sensus","AL-00788/2020",2404
"AL",1,"Ricardo Barbosa","PT",2020-11-10,1,"Data Sensus","AL-00788/2020",2404
"AL",1,"Valeria Correia","PSOL",2020-11-10,2,"Data Sensus","AL-00788/2020",2404
"AL",1,"Cicero Filho","PCdoB",2020-11-10,0,"Data Sensus","AL-00788/2020",2404
"AL",1,"Corintho Campelo","PMN",2020-11-10,0,"Data Sensus","AL-00788/2020",2404
"AL",1,"Brancos/nulos/indecisos",NA,2020-11-10,15,"Data Sensus","AL-00788/2020",2404
"AL",1,"Alfredo Gaspar","MDB",2020-11-11,26,"Ibope","AL-00463/2020",504
"AL",1,"JHC","PSB",2020-11-11,22,"Ibope","AL-00463/2020",504
"AL",1,"Cícero Almeida","DC",2020-11-11,3,"Ibope","AL-00463/2020",504
"AL",1,"Davi Filho","PP",2020-11-11,19,"Ibope","AL-00463/2020",504
"AL",1,"Lenilda Luna","UP",2020-11-11,1,"Ibope","AL-00463/2020",504
"AL",1,"Josan Leite","PATRI",2020-11-11,3,"Ibope","AL-00463/2020",504
"AL",1,"Ricardo Barbosa","PT",2020-11-11,2,"Ibope","AL-00463/2020",504
"AL",1,"Valeria Correia","PSOL",2020-11-11,4,"Ibope","AL-00463/2020",504
"AL",1,"Cicero Filho","PCdoB",2020-11-11,0,"Ibope","AL-00463/2020",504
"AL",1,"Corintho Campelo","PMN",2020-11-11,0,"Ibope","AL-00463/2020",504
"AL",1,"Brancos/nulos/indecisos",NA,2020-11-11,19,"Ibope","AL-00463/2020",504
"AP",1,"Capi","PSB",2020-10-14,17,"Ibope","AP-06881/2020",504
"AP",1,"Josiel","DEM",2020-10-14,16,"Ibope","AP-06881/2020",504
"AP",1,"Dr. Furlan","CID",2020-10-14,13,"Ibope","AP-06881/2020",504
"AP",1,"Patrícia Ferraz","PODE",2020-10-14,13,"Ibope","AP-06881/2020",504
"AP",1,"Cirilo Fernandes","PRTB",2020-10-14,8,"Ibope","AP-06881/2020",504
"AP",1,"Gianfranco","PSTU",2020-10-14,3,"Ibope","AP-06881/2020",504
"AP",1,"Guaracy","PSL",2020-10-14,3,"Ibope","AP-06881/2020",504
"AP",1,"Haroldo Iram","PTC",2020-10-14,2,"Ibope","AP-06881/2020",504
"AP",1,"Paulo Lemos","PSOL",2020-10-14,2,"Ibope","AP-06881/2020",504
"AP",1,"Prof. Marcos","PT",2020-10-14,2,"Ibope","AP-06881/2020",504
"AP",1,"Brancos/nulos/indecisos",NA,2020-10-14,21,"Ibope","AP-06881/2020",504
"AP",1,"Capi","PSB",2020-10-15,17,"RealTime","AP-01326/2020",600
"AP",1,"Josiel","DEM",2020-10-15,16,"RealTime","AP-01326/2020",600
"AP",1,"Dr. Furlan","CID",2020-10-15,11,"RealTime","AP-01326/2020",600
"AP",1,"Patrícia Ferraz","PODE",2020-10-15,12,"RealTime","AP-01326/2020",600
"AP",1,"Cirilo Fernandes","PRTB",2020-10-15,9,"RealTime","AP-01326/2020",600
"AP",1,"Gianfranco","PSTU",2020-10-15,3,"RealTime","AP-01326/2020",600
"AP",1,"Guaracy","PSL",2020-10-15,2,"RealTime","AP-01326/2020",600
"AP",1,"Haroldo Iram","PTC",2020-10-15,2,"RealTime","AP-01326/2020",600
"AP",1,"Paulo Lemos","PSOL",2020-10-15,3,"RealTime","AP-01326/2020",600
"AP",1,"Prof. Marcos","PT",2020-10-15,1,"RealTime","AP-01326/2020",600
"AP",1,"Brancos/nulos/indecisos",NA,2020-10-15,24,"RealTime","AP-01326/2020",600
"TO",1,"Capi","PSB",2020-10-21,22,"Ecos","AP-02908/2020",600
"TO",1,"Josiel","DEM",2020-10-21,17,"Ecos","AP-02908/2020",600
"TO",1,"Dr. Furlan","CID",2020-10-21,9,"Ecos","AP-02908/2020",600
"TO",1,"Patrícia Ferraz","PODE",2020-10-21,7,"Ecos","AP-02908/2020",600
"TO",1,"Cirilo Fernandes","PRTB",2020-10-21,8,"Ecos","AP-02908/2020",600
"TO",1,"Gianfranco","PSTU",2020-10-21,0,"Ecos","AP-02908/2020",600
"TO",1,"Guaracy","PSL",2020-10-21,6,"Ecos","AP-02908/2020",600
"TO",1,"Haroldo Iram","PTC",2020-10-21,1,"Ecos","AP-02908/2020",600
"TO",1,"Paulo Lemos","PSOL",2020-10-21,0,"Ecos","AP-02908/2020",600
"TO",1,"Prof. Marcos","PT",2020-10-21,2,"Ecos","AP-02908/2020",600
"TO",1,"Brancos/nulos/indecisos",NA,2020-10-21,27,"Ecos","AP-02908/2020",600
"AP",1,"Capi","PSB",2020-10-23,14,"RealTime","AP-03665/2020",500
"AP",1,"Josiel","DEM",2020-10-23,20,"RealTime","AP-03665/2020",500
"AP",1,"Dr. Furlan","CID",2020-10-23,14,"RealTime","AP-03665/2020",500
"AP",1,"Patrícia Ferraz","PODE",2020-10-23,9,"RealTime","AP-03665/2020",500
"AP",1,"Cirilo Fernandes","PRTB",2020-10-23,4,"RealTime","AP-03665/2020",500
"AP",1,"Gianfranco","PSTU",2020-10-23,2,"RealTime","AP-03665/2020",500
"AP",1,"Guaracy","PSL",2020-10-23,2,"RealTime","AP-03665/2020",500
"AP",1,"Haroldo Iram","PTC",2020-10-23,2,"RealTime","AP-03665/2020",500
"AP",1,"Paulo Lemos","PSOL",2020-10-23,3,"RealTime","AP-03665/2020",500
"AP",1,"Prof. Marcos","PT",2020-10-23,2,"RealTime","AP-03665/2020",500
"AP",1,"Brancos/nulos/indecisos",NA,2020-10-23,28,"RealTime","AP-03665/2020",500
"AP",1,"Capi","PSB",2020-10-28,15,"Ibope","AP-00006/2020",504
"AP",1,"Josiel","DEM",2020-10-28,31,"Ibope","AP-00006/2020",504
"AP",1,"Dr. Furlan","CID",2020-10-28,11,"Ibope","AP-00006/2020",504
"AP",1,"Patrícia Ferraz","PODE",2020-10-28,11,"Ibope","AP-00006/2020",504
"AP",1,"Cirilo Fernandes","PRTB",2020-10-28,7,"Ibope","AP-00006/2020",504
"AP",1,"Gianfranco","PSTU",2020-10-28,1,"Ibope","AP-00006/2020",504
"AP",1,"Guaracy","PSL",2020-10-28,1,"Ibope","AP-00006/2020",504
"AP",1,"Haroldo Iram","PTC",2020-10-28,3,"Ibope","AP-00006/2020",504
"AP",1,"Paulo Lemos","PSOL",2020-10-28,1,"Ibope","AP-00006/2020",504
"AP",1,"Prof. Marcos","PT",2020-10-28,1,"Ibope","AP-00006/2020",504
"AP",1,"Brancos/nulos/indecisos",NA,2020-10-28,12,"Ibope","AP-00006/2020",504
"AP",1,"Capi","PSB",2020-11-04,19,"RealTime","AP-03217/2020",1050
"AP",1,"Josiel","DEM",2020-11-04,37,"RealTime","AP-03217/2020",1050
"AP",1,"Dr. Furlan","CID",2020-11-04,9,"RealTime","AP-03217/2020",1050
"AP",1,"Patrícia Ferraz","PODE",2020-11-04,10,"RealTime","AP-03217/2020",1050
"AP",1,"Cirilo Fernandes","PRTB",2020-11-04,5,"RealTime","AP-03217/2020",1050
"AP",1,"Gianfranco","PSTU",2020-11-04,0,"RealTime","AP-03217/2020",1050
"AP",1,"Guaracy","PSL",2020-11-04,2,"RealTime","AP-03217/2020",1050
"AP",1,"Haroldo Iram","PTC",2020-11-04,0,"RealTime","AP-03217/2020",1050
"AP",1,"Paulo Lemos","PSOL",2020-11-04,2,"RealTime","AP-03217/2020",1050
"AP",1,"Prof. Marcos","PT",2020-11-04,1,"RealTime","AP-03217/2020",1050
"AP",1,"Brancos/nulos/indecisos",NA,2020-11-04,15,"RealTime","AP-03217/2020",1050
"AP",1,"Capi","PSB",2020-11-11,11,"Ibope","AP-04406/2020",504
"AP",1,"Josiel","DEM",2020-11-11,22,"Ibope","AP-04406/2020",504
"AP",1,"Dr. Furlan","CID",2020-11-11,15,"Ibope","AP-04406/2020",504
"AP",1,"Patrícia Ferraz","PODE",2020-11-11,15,"Ibope","AP-04406/2020",504
"AP",1,"Cirilo Fernandes","PRTB",2020-11-11,6,"Ibope","AP-04406/2020",504
"AP",1,"Gianfranco","PSTU",2020-11-11,1,"Ibope","AP-04406/2020",504
"AP",1,"Guaracy","PSL",2020-11-11,6,"Ibope","AP-04406/2020",504
"AP",1,"Haroldo Iram","PTC",2020-11-11,2,"Ibope","AP-04406/2020",504
"AP",1,"Paulo Lemos","PSOL",2020-11-11,4,"Ibope","AP-04406/2020",504
"AP",1,"Prof. Marcos","PT",2020-11-11,2,"Ibope","AP-04406/2020",504
"AP",1,"Brancos/nulos/indecisos",NA,2020-11-11,15,"Ibope","AP-04406/2020",504
"AM",1,"Gilberto","PSTU",2020-09-13,0,"Pontual","AM-09366/2020",1066
"AM",1,"Marcelo Amil","PCdoB",2020-09-13,1,"Pontual","AM-09366/2020",1066
"AM",1,"Romero Reis","NOVO",2020-09-13,1,"Pontual","AM-09366/2020",1066
"AM",1,"Chico Preto","DC",2020-09-13,2,"Pontual","AM-09366/2020",1066
"AM",1,"Ricardo Nicolau","PSD",2020-09-13,3,"Pontual","AM-09366/2020",1066
"AM",1,"Cel. Menezes","PATRI",2020-09-13,5,"Pontual","AM-09366/2020",1066
"AM",1,"Cap. Alberto","REP",2020-09-13,5,"Pontual","AM-09366/2020",1066
"AM",1,"Alfredo","PL",2020-09-13,5,"Pontual","AM-09366/2020",1066
"AM",1,"Zé Ricardo","PT",2020-09-13,6,"Pontual","AM-09366/2020",1066
"AM",1,"David Almeida","AVANTE",2020-09-13,15,"Pontual","AM-09366/2020",1066
"AM",1,"Brancos/nulos/indecisos",NA,2020-09-13,25,"Pontual","AM-09366/2020",1066
"AM",1,"Amazonino Mendes","PODE",2020-09-13,32,"Pontual","AM-09366/2020",1066
"AM",1,"Gilberto","PSTU",2020-09-25,0,"DMP","AM-01820/2020",1003
"AM",1,"Romero Reis","NOVO",2020-09-25,0,"DMP","AM-01820/2020",1003
"AM",1,"Marcelo Amil","PCdoB",2020-09-25,1,"DMP","AM-01820/2020",1003
"AM",1,"Chico Preto","DC",2020-09-25,2,"DMP","AM-01820/2020",1003
"AM",1,"Cel. Menezes","PATRI",2020-09-25,4,"DMP","AM-01820/2020",1003
"AM",1,"Alfredo","PL",2020-09-25,5,"DMP","AM-01820/2020",1003
"AM",1,"Cap. Alberto","REP",2020-09-25,5,"DMP","AM-01820/2020",1003
"AM",1,"Ricardo Nicolau","PSD",2020-09-25,5,"DMP","AM-01820/2020",1003
"AM",1,"Zé Ricardo","PT",2020-09-25,6,"DMP","AM-01820/2020",1003
"AM",1,"David Almeida","AVANTE",2020-09-25,18,"DMP","AM-01820/2020",1003
"AM",1,"Brancos/nulos/indecisos",NA,2020-09-25,21,"DMP","AM-01820/2020",1003
"AM",1,"Amazonino Mendes","PODE",2020-09-25,33,"DMP","AM-01820/2020",1003
"AM",1,"Marcelo Amil","PCdoB",2020-09-27,0,"Perspectiva","AM-03517/2020",2000
"AM",1,"Gilberto","PSTU",2020-09-27,1,"Perspectiva","AM-03517/2020",2000
"AM",1,"Romero Reis","NOVO",2020-09-27,1,"Perspectiva","AM-03517/2020",2000
"AM",1,"Cel. Menezes","PATRI",2020-09-27,3,"Perspectiva","AM-03517/2020",2000
"AM",1,"Chico Preto","DC",2020-09-27,3,"Perspectiva","AM-03517/2020",2000
"AM",1,"Ricardo Nicolau","PSD",2020-09-27,4,"Perspectiva","AM-03517/2020",2000
"AM",1,"Alfredo","PL",2020-09-27,6,"Perspectiva","AM-03517/2020",2000
"AM",1,"Cap. Alberto","REP",2020-09-27,6,"Perspectiva","AM-03517/2020",2000
"AM",1,"Zé Ricardo","PT",2020-09-27,9,"Perspectiva","AM-03517/2020",2000
"AM",1,"Brancos/nulos/indecisos",NA,2020-09-27,17,"Perspectiva","AM-03517/2020",2000
"AM",1,"David Almeida","AVANTE",2020-09-27,19,"Perspectiva","AM-03517/2020",2000
"AM",1,"Amazonino Mendes","PODE",2020-09-27,33,"Perspectiva","AM-03517/2020",2000
"AM",1,"Gilberto","PSTU",2020-09-30,0,"RealTime","AM-03935/2020",1000
"AM",1,"Marcelo Amil","PCdoB",2020-09-30,1,"RealTime","AM-03935/2020",1000
"AM",1,"Romero Reis","NOVO",2020-09-30,2,"RealTime","AM-03935/2020",1000
"AM",1,"Alfredo","PL",2020-09-30,3,"RealTime","AM-03935/2020",1000
"AM",1,"Chico Preto","DC",2020-09-30,4,"RealTime","AM-03935/2020",1000
"AM",1,"Cel. Menezes","PATRI",2020-09-30,5,"RealTime","AM-03935/2020",1000
"AM",1,"Cap. Alberto","REP",2020-09-30,4,"RealTime","AM-03935/2020",1000
"AM",1,"Zé Ricardo","PT",2020-09-30,8,"RealTime","AM-03935/2020",1000
"AM",1,"Ricardo Nicolau","PSD",2020-09-30,4,"RealTime","AM-03935/2020",1000
"AM",1,"David Almeida","AVANTE",2020-09-30,17,"RealTime","AM-03935/2020",1000
"AM",1,"Brancos/nulos/indecisos",NA,2020-09-30,28,"RealTime","AM-03935/2020",1000
"AM",1,"Amazonino Mendes","PODE",2020-09-30,24,"RealTime","AM-03935/2020",1000
"AM",1,"Marcelo Amil","PCdoB",2020-10-02,1,"Instituto Diário","AM-03762/2020",1200
"AM",1,"Gilberto","PSTU",2020-10-02,1,"Instituto Diário","AM-03762/2020",1200
"AM",1,"Romero Reis","NOVO",2020-10-02,2,"Instituto Diário","AM-03762/2020",1200
"AM",1,"Chico Preto","DC",2020-10-02,2,"Instituto Diário","AM-03762/2020",1200
"AM",1,"Ricardo Nicolau","PSD",2020-10-02,4,"Instituto Diário","AM-03762/2020",1200
"AM",1,"Cap. Alberto","REP",2020-10-02,5,"Instituto Diário","AM-03762/2020",1200
"AM",1,"Cel. Menezes","PATRI",2020-10-02,6,"Instituto Diário","AM-03762/2020",1200
"AM",1,"Alfredo","PL",2020-10-02,7,"Instituto Diário","AM-03762/2020",1200
